epoch,accuracy,loss,val_accuracy,val_loss
0,0.7559999823570251,0.7249597907066345,0.7900000214576721,0.4972328841686249
1,0.8330000042915344,0.44057077169418335,0.8949999809265137,0.27298256754875183
2,0.8679999709129333,0.3146508038043976,0.8924999833106995,0.29580214619636536
3,0.8899999856948853,0.26072564721107483,0.887499988079071,0.33151572942733765
4,0.9259999990463257,0.20535115897655487,0.8612499833106995,0.401824951171875
5,0.9269999861717224,0.18991754949092865,0.9100000262260437,0.31046605110168457
6,0.9350000023841858,0.1704617142677307,0.875,0.44616398215293884
7,0.9430000185966492,0.15456153452396393,0.8862500190734863,0.44276705384254456
8,0.9380000233650208,0.16746123135089874,0.8949999809265137,0.451027512550354
9,0.9639999866485596,0.09607607126235962,0.9049999713897705,0.3569556176662445
